Species,Contigs,Accession,Status,TaxID
Streptomyces sp. NPDC001910,82,GCF_040296965.1,Scaffold,3154403
Streptomyces sp. NPDC001914,46,GCF_042891215.1,Scaffold,3364623
Streptomyces sp. NPDC001922,30,GCF_042891165.1,Scaffold,3364624
Streptomyces sp. NPDC001928,89,GCF_040296925.1,Scaffold,3154404
Streptomyces sp. NPDC001930,23,GCF_042891125.1,Scaffold,3364625
Streptomyces sp. NPDC001933,131,GCF_042890955.1,Scaffold,3364626
Streptomyces sp. NPDC001941,273,GCF_040296945.1,Scaffold,3154659
Streptomyces sp. NPDC001978,500,GCF_042890975.1,Scaffold,3364627
Streptomyces sp. NPDC001980,117,GCF_040296885.1,Scaffold,3157126
Streptomyces sp. NPDC001981,25,GCF_042890915.1,Scaffold,3364628
Streptomyces sp. NPDC001982,616,GCF_040296905.1,Scaffold,3154405
Streptomyces sp. NPDC001985,203,GCF_040296845.1,Scaffold,3154406
Streptomyces sp. NPDC002012,194,GCF_040296865.1,Scaffold,3154532
Streptomyces sp. NPDC002018,61,GCF_042890865.1,Scaffold,3364629
Streptomyces sp. NPDC002032,43,GCF_042890765.1,Scaffold,3364630
Streptomyces sp. NPDC002033,266,GCF_040296765.1,Scaffold,3154533
Streptomyces sp. NPDC002039,214,GCF_040296745.1,Scaffold,3154660
Streptomyces sp. NPDC002044,342,GCF_040296725.1,Scaffold,3154662
Streptomyces sp. NPDC002054,86,GCF_040296685.1,Scaffold,3154663
Streptomyces sp. NPDC002055,163,GCF_040296705.1,Scaffold,3154534
Streptomyces sp. NPDC002057,119,GCF_040296665.1,Scaffold,3154664
Streptomyces sp. NPDC002082,216,GCF_040296625.1,Scaffold,3154772
Streptomyces sp. NPDC002088,129,GCF_040296605.1,Scaffold,3154665
Streptomyces sp. NPDC002120,62,GCF_042890615.1,Scaffold,3364631
Streptomyces sp. NPDC002122,63,GCF_040296565.1,Scaffold,3154407
Streptomyces sp. NPDC002130,1339,GCF_040296465.1,Scaffold,3155568
Streptomyces sp. NPDC002131,107,GCF_040296445.1,Scaffold,3154535
Streptomyces sp. NPDC002132,62,GCF_040296425.1,Scaffold,3154408
Streptomyces sp. NPDC002133,158,GCF_040296405.1,Scaffold,3154409
Streptomyces sp. NPDC002134,29,GCF_042890545.1,Scaffold,3364632
Streptomyces sp. NPDC002138,174,GCF_040296485.1,Scaffold,3154410
Streptomyces sp. NPDC002164,108,GCF_042890635.1,Scaffold,3364633
Streptomyces sp. NPDC002176,14,GCF_044903645.1,Scaffold,3364634
Streptomyces sp. NPDC002181,33,GCF_042890485.1,Scaffold,3364635
Streptomyces sp. NPDC002185,14,GCF_042890425.1,Scaffold,3364636
Streptomyces sp. NPDC002187,48,GCF_042890445.1,Scaffold,3364637
Streptomyces sp. NPDC002205,161,GCF_040296385.1,Scaffold,3154411
Streptomyces sp. NPDC002209,48,GCF_042890265.1,Scaffold,3364638
Streptomyces sp. NPDC002215,225,GCF_040296305.1,Scaffold,3154412
Streptomyces sp. NPDC002221,62,GCF_042890355.1,Scaffold,3364639
Streptomyces sp. NPDC002225,85,GCF_040296325.1,Scaffold,3154413
Streptomyces sp. NPDC002232,12,GCF_042890295.1,Scaffold,3364640
Streptomyces sp. NPDC002238,48,GCF_040296225.1,Scaffold,3156649
Streptomyces sp. NPDC002250,36,GCF_042890175.1,Scaffold,3364641
Streptomyces sp. NPDC002262,234,GCF_040296185.1,Scaffold,3154414
Streptomyces sp. NPDC002265,729,GCF_040296125.1,Scaffold,3154415
Streptomyces sp. NPDC002328,53,GCF_042890065.1,Scaffold,3364642
Streptomyces sp. NPDC002387,87,GCF_042890145.1,Scaffold,3364643
Streptomyces sp. NPDC002418,74,GCF_040296085.1,Scaffold,3156650
Streptomyces sp. NPDC002458,21,GCF_042889875.1,Scaffold,3364644
Streptomyces sp. NPDC002463,70,GCF_042889835.1,Scaffold,3364645
Streptomyces sp. NPDC002466,110,GCF_042889935.1,Scaffold,3364646
Streptomyces sp. NPDC002467,56,GCF_042889825.1,Scaffold,3364647
Streptomyces sp. NPDC002476,114,GCF_042889785.1,Scaffold,3364648
Streptomyces sp. NPDC002490,141,GCF_040296045.1,Scaffold,3154416
Streptomyces sp. NPDC002506,88,GCF_040296025.1,Scaffold,3154536
Streptomyces sp. NPDC002553,117,GCF_040295905.1,Scaffold,3154417
Streptomyces sp. NPDC002561,226,GCF_040295935.1,Scaffold,3154418
Streptomyces sp. NPDC002564,32,GCF_042889645.1,Scaffold,3364649
Streptomyces sp. NPDC002566,17,GCF_042889585.1,Scaffold,3364650
Streptomyces sp. NPDC002573,295,GCF_042889625.1,Scaffold,3364651
Streptomyces sp. NPDC002574,37,GCF_042889545.1,Scaffold,3364652
Streptomyces sp. NPDC002580,35,GCF_042889485.1,Scaffold,3364653
Streptomyces sp. NPDC002588,129,GCF_040295925.1,Scaffold,3154419
Streptomyces sp. NPDC002589,244,GCF_040295885.1,Scaffold,3154420
Streptomyces sp. NPDC002599,123,GCF_040295845.1,Scaffold,3154421
Streptomyces sp. NPDC002602,54,GCF_042889445.1,Scaffold,3364654
Streptomyces sp. NPDC002619,168,GCF_042889305.1,Scaffold,3364655
Streptomyces sp. NPDC002659,146,GCF_042889245.1,Scaffold,3364656
Streptomyces sp. NPDC002667,26,GCF_042889205.1,Scaffold,3364657
Streptomyces sp. NPDC002668,165,GCF_040295865.1,Scaffold,3154422
Streptomyces sp. NPDC002669,87,GCF_042889165.1,Scaffold,3364658
Streptomyces sp. NPDC002677,105,GCF_040295785.1,Scaffold,3154774
Streptomyces sp. NPDC002680,44,GCF_042889145.1,Scaffold,3364659
Streptomyces sp. NPDC002685,144,GCF_040295795.1,Scaffold,3154540
Streptomyces sp. NPDC002688,241,GCF_040295725.1,Scaffold,3154423
Streptomyces sp. NPDC002698,93,GCF_042888945.1,Scaffold,3364660
Streptomyces sp. NPDC002701,75,GCF_042889045.1,Scaffold,3364661
Streptomyces sp. NPDC002722,105,GCF_040295665.1,Scaffold,3154425
Streptomyces sp. NPDC002730,79,GCF_042888805.1,Scaffold,3364662
Streptomyces sp. NPDC002734,79,GCF_040295685.1,Scaffold,3154426
Streptomyces sp. NPDC002742,84,GCF_042888885.1,Scaffold,3364663
Streptomyces sp. NPDC002763,286,GCF_040295645.1,Scaffold,3154427
Streptomyces sp. NPDC002764,102,GCF_040295585.1,Scaffold,3154428
Streptomyces sp. NPDC002766,206,GCF_040295525.1,Scaffold,3154429
Streptomyces sp. NPDC002769,182,GCF_040295545.1,Scaffold,3154542
Streptomyces sp. NPDC002773,82,GCF_040295605.1,Scaffold,3154430
Streptomyces sp. NPDC002779,94,GCF_042888685.1,Scaffold,3364664
Streptomyces sp. NPDC002785,456,GCF_040295565.1,Scaffold,3154543
Streptomyces sp. NPDC002790,244,GCF_040295505.1,Scaffold,3154431
Streptomyces sp. NPDC002793,144,GCF_040295485.1,Scaffold,3154432
Streptomyces sp. NPDC002795,30,GCF_042888725.1,Scaffold,3364665
Streptomyces sp. NPDC002809,185,GCF_040295435.1,Scaffold,3154433
Streptomyces sp. NPDC002812,453,GCF_040295405.1,Scaffold,3154434
Streptomyces sp. NPDC002825,82,GCF_040295385.1,Scaffold,3154666
Streptomyces sp. NPDC002838,171,GCF_040295365.1,Scaffold,3154436
Streptomyces sp. NPDC002855,52,GCF_040295285.1,Scaffold,3154437
Streptomyces sp. NPDC002870,98,GCF_042888505.1,Scaffold,3364666
Streptomyces sp. NPDC002884,109,GCF_040295245.1,Scaffold,3154544
Streptomyces sp. NPDC002886,28,GCF_042888445.1,Scaffold,3364667
Streptomyces sp. NPDC002888,72,GCF_042888465.1,Scaffold,3364668
Streptomyces sp. NPDC002889,94,GCF_042888425.1,Scaffold,3364669
Streptomyces sp. NPDC002896,105,GCF_040295225.1,Scaffold,3154438
Streptomyces sp. NPDC002908,40,GCF_042888405.1,Scaffold,3364670
Streptomyces sp. NPDC002917,117,GCF_042888385.1,Scaffold,3364671
Streptomyces sp. NPDC002922,546,GCF_040611355.1,Scaffold,3154439
Streptomyces sp. NPDC002928,133,GCF_040611335.1,Scaffold,3154440
Streptomyces sp. NPDC002932,44,GCF_042888325.1,Scaffold,3364672
Streptomyces sp. NPDC002935,96,GCF_040611295.1,Scaffold,3154545
Streptomyces sp. NPDC002952,93,GCF_042888265.1,Scaffold,3364673
Streptomyces sp. NPDC002962,41,GCF_042888245.1,Scaffold,3364674
Streptomyces sp. NPDC002992,32,GCF_040611235.1,Scaffold,3154273
Streptomyces sp. NPDC002994,79,GCF_040611155.1,Scaffold,3154441
Streptomyces sp. NPDC003023,26,GCF_042888225.1,Scaffold,3364675
Streptomyces sp. NPDC003035,19,GCF_042888285.1,Scaffold,3364676
Streptomyces sp. NPDC003036,103,GCF_040611175.1,Scaffold,3154442
Streptomyces sp. NPDC003038,133,GCF_040611115.1,Scaffold,3154546
Streptomyces sp. NPDC003077,150,GCF_040611095.1,Scaffold,3154443
Streptomyces sp. NPDC003090,454,GCF_044759075.1,Scaffold,3154274
Streptomyces sp. NPDC003247,37,GCF_042888135.1,Scaffold,3364677
Streptomyces sp. NPDC003273,35,GCF_042888025.1,Scaffold,3364678
Streptomyces sp. NPDC003278,33,GCF_042879115.1,Scaffold,3364679
Streptomyces sp. NPDC003280,26,GCF_042879095.1,Scaffold,3364680
Streptomyces sp. NPDC003283,62,GCF_042879075.1,Scaffold,3364681
Streptomyces sp. NPDC003300,61,GCF_040610915.1,Scaffold,3154446
Streptomyces sp. NPDC003344,39,GCF_042879015.1,Scaffold,3364682
Streptomyces sp. NPDC003456,16,GCF_042878735.1,Scaffold,3364683
Streptomyces sp. NPDC003717,46,GCF_040610735.1,Scaffold,3154276
Streptomyces sp. NPDC003720,23,GCF_042875075.1,Scaffold,3364684
Streptomyces sp. NPDC003737,121,GCF_042874995.1,Scaffold,3364685
Streptomyces sp. NPDC003781,38,GCF_042874855.1,Scaffold,3364686
Streptomyces sp. NPDC004041,44,GCF_042874335.1,Scaffold,3364688
Streptomyces sp. NPDC004042,155,GCF_040610575.1,Scaffold,3154451
Streptomyces sp. NPDC004065,82,GCF_044903565.1,Scaffold,3364689
Streptomyces sp. NPDC004074,157,GCF_040610435.1,Scaffold,3154277
Streptomyces sp. NPDC004111,66,GCF_042874215.1,Scaffold,3364690
Streptomyces sp. NPDC004126,137,GCF_050275515.1,Scaffold,3390695
Streptomyces sp. NPDC004134,68,GCF_042874195.1,Scaffold,3364691
Streptomyces sp. NPDC004232,232,GCF_040610295.1,Scaffold,3154454
Streptomyces sp. NPDC004237,280,GCF_040610275.1,Scaffold,3154455
Streptomyces sp. NPDC004250,88,GCF_042874115.1,Scaffold,3364692
Streptomyces sp. NPDC004266,46,GCF_042874095.1,Scaffold,3364693
Streptomyces sp. NPDC004267,19,GCF_042874075.1,Scaffold,3364694
Streptomyces sp. NPDC004284,44,GCF_042874035.1,Scaffold,3364695
Streptomyces sp. NPDC004286,14,GCF_042874015.1,Scaffold,3364696
Streptomyces sp. NPDC004296,98,GCF_042873995.1,Scaffold,3364697
Streptomyces sp. NPDC004311,35,GCF_042873975.1,Scaffold,3364698
Streptomyces sp. NPDC004327,17,GCF_042873935.1,Scaffold,3364699
Streptomyces sp. NPDC004330,27,GCF_042873915.1,Scaffold,3364700
Streptomyces sp. NPDC004362,180,GCF_040610235.1,Scaffold,3154456
Streptomyces sp. NPDC004435,51,GCF_042873895.1,Scaffold,3364701
Streptomyces sp. NPDC004520,52,GCF_042873855.1,Scaffold,3364702
Streptomyces sp. NPDC004528,135,GCF_040610155.1,Scaffold,3154550
Streptomyces sp. NPDC004533,297,GCF_040610115.1,Scaffold,3154278
Streptomyces sp. NPDC004538,66,GCF_040610135.1,Scaffold,3154279
Streptomyces sp. NPDC004539,68,GCF_040610055.1,Scaffold,3154280
Streptomyces sp. NPDC004542,227,GCF_040610035.1,Scaffold,3154281
Streptomyces sp. NPDC004546,167,GCF_040610015.1,Scaffold,3154282
Streptomyces sp. NPDC004549,24,GCF_040609995.1,Scaffold,3154283
Streptomyces sp. NPDC004562,32,GCF_042873795.1,Scaffold,3364703
Streptomyces sp. NPDC004579,562,GCF_040609875.1,Scaffold,3154667
Streptomyces sp. NPDC004589,117,GCF_040609815.1,Scaffold,3154553
Streptomyces sp. NPDC004608,103,GCF_040609755.1,Scaffold,3154554
Streptomyces sp. NPDC004609,108,GCF_042873655.1,Scaffold,3364704
Streptomyces sp. NPDC004610,97,GCF_040609715.1,Scaffold,3154668
Streptomyces sp. NPDC004611,115,GCF_040609735.1,Scaffold,3154669
Streptomyces sp. NPDC004623,66,GCF_040609675.1,Scaffold,3156653
Streptomyces sp. NPDC004629,96,GCF_042873595.1,Scaffold,3364705
Streptomyces sp. NPDC004647,224,GCF_040609575.1,Scaffold,3154671
Streptomyces sp. NPDC004658,464,GCF_040609555.1,Scaffold,3154672
Streptomyces sp. NPDC004667,283,GCF_040609475.1,Scaffold,3154285
Streptomyces sp. NPDC004675,160,GCF_040609375.1,Scaffold,3154286
Streptomyces sp. NPDC004680,122,GCF_040609315.1,Scaffold,3154287
Streptomyces sp. NPDC004728,169,GCF_040609215.1,Scaffold,3154289
Streptomyces sp. NPDC004732,58,GCF_040609235.1,Scaffold,3154290
Streptomyces sp. NPDC004735,58,GCF_040609195.1,Scaffold,3156654
Streptomyces sp. NPDC004783,101,GCF_040609135.1,Scaffold,3154459
Streptomyces sp. NPDC004787,262,GCF_040609075.1,Scaffold,3154291
Streptomyces sp. NPDC004856,29,GCF_040609055.1,Scaffold,3154556
Streptomyces sp. NPDC004959,81,GCF_040608975.1,Scaffold,3154673
Streptomyces sp. NPDC004981,64,GCF_040608915.1,Scaffold,3156655
Streptomyces sp. NPDC005012,118,GCF_040608875.1,Scaffold,3154558
Streptomyces sp. NPDC005017,68,GCF_042873115.1,Scaffold,3364706
Streptomyces sp. NPDC005065,382,GCF_040608775.1,Scaffold,3154461
Streptomyces sp. NPDC005077,300,GCF_040608755.1,Scaffold,3154292
Streptomyces sp. NPDC005078,102,GCF_040608795.1,Scaffold,3154293
Streptomyces sp. NPDC005096,201,GCF_040608715.1,Scaffold,3154559
Streptomyces sp. NPDC005098,260,GCF_040608735.1,Scaffold,3154560
Streptomyces sp. NPDC005132,261,GCF_040608665.1,Scaffold,3154294
Streptomyces sp. NPDC005180,390,GCF_040608415.1,Scaffold,3156868
Streptomyces sp. NPDC005181,272,GCF_040608395.1,Scaffold,3156869
Streptomyces sp. NPDC005195,411,GCF_040608315.1,Scaffold,3154561
Streptomyces sp. NPDC005202,102,GCF_040608235.1,Scaffold,3157021
Streptomyces sp. NPDC005209,325,GCF_040608205.1,Scaffold,3156715
Streptomyces sp. NPDC005227,115,GCF_042872715.1,Scaffold,3364707
Streptomyces sp. NPDC005231,249,GCF_040607875.1,Scaffold,3157026
Streptomyces sp. NPDC005236,187,GCF_040607815.1,Scaffold,3157028
Streptomyces sp. NPDC005244,77,GCF_042872465.1,Scaffold,3364708
Streptomyces sp. NPDC005245,131,GCF_040607755.1,Scaffold,3157029
Streptomyces sp. NPDC005246,143,GCF_040607715.1,Scaffold,3156716
Streptomyces sp. NPDC005248,70,GCF_042872505.1,Scaffold,3364709
Streptomyces sp. NPDC005251,166,GCF_040607675.1,Scaffold,3157166
Streptomyces sp. NPDC005262,45,GCF_042872425.1,Scaffold,3364710
Streptomyces sp. NPDC005263,37,GCF_042872365.1,Scaffold,3364711
Streptomyces sp. NPDC005266,70,GCF_040607655.1,Scaffold,3154877
Streptomyces sp. NPDC005271,120,GCF_040607595.1,Scaffold,3157030
Streptomyces sp. NPDC005279,98,GCF_042872385.1,Scaffold,3364712
Streptomyces sp. NPDC005281,115,GCF_040607495.1,Scaffold,3155712
Streptomyces sp. NPDC005283,181,GCF_040703275.1,Scaffold,3156871
Streptomyces sp. NPDC005301,114,GCF_040607385.1,Scaffold,3156874
Streptomyces sp. NPDC005302,51,GCF_040607345.1,Scaffold,3154675
Streptomyces sp. NPDC005303,88,GCF_040607335.1,Scaffold,3155713
Streptomyces sp. NPDC005317,73,GCF_040607235.1,Scaffold,3156876
Streptomyces sp. NPDC005318,64,GCF_040607215.1,Scaffold,3157031
Streptomyces sp. NPDC005322,149,GCF_040607145.1,Scaffold,3157032
Streptomyces sp. NPDC005329,107,GCF_040607125.1,Scaffold,3157034
Streptomyces sp. NPDC005336,231,GCF_040607075.1,Scaffold,3157035
Streptomyces sp. NPDC005345,143,GCF_040606985.1,Scaffold,3156877
Streptomyces sp. NPDC005349,595,GCF_040606975.1,Scaffold,3157037
Streptomyces sp. NPDC005355,203,GCF_040606935.1,Scaffold,3157038
Streptomyces sp. NPDC005356,399,GCF_040606945.1,Scaffold,3157167
Streptomyces sp. NPDC005373,621,GCF_040606785.1,Scaffold,3156879
Streptomyces sp. NPDC005374,48,GCF_042872225.1,Scaffold,3364713
Streptomyces sp. NPDC005381,21,GCF_042872185.1,Scaffold,3364714
Streptomyces sp. NPDC005385,107,GCF_040606715.1,Scaffold,3157039
Streptomyces sp. NPDC005386,121,GCF_040606725.1,Scaffold,3154562
Streptomyces sp. NPDC005388,426,GCF_040606685.1,Scaffold,3156717
Streptomyces sp. NPDC005389,140,GCF_040606645.1,Scaffold,3157040
Streptomyces sp. NPDC005393,152,GCF_040606675.1,Scaffold,3157041
Streptomyces sp. NPDC005395,133,GCF_040606585.1,Scaffold,3157042
Streptomyces sp. NPDC005402,81,GCF_040606575.1,Scaffold,3155338
Streptomyces sp. NPDC005406,176,GCF_040703255.1,Scaffold,3155339
Streptomyces sp. NPDC005407,402,GCF_040606465.1,Scaffold,3155340
Streptomyces sp. NPDC005408,142,GCF_040606445.1,Scaffold,3155341
Streptomyces sp. NPDC005409,64,GCF_040703315.1,Scaffold,3155342
Streptomyces sp. NPDC005423,117,GCF_040606415.1,Scaffold,3155343
Streptomyces sp. NPDC005426,174,GCF_040606345.1,Scaffold,3155344
Streptomyces sp. NPDC005435,50,GCF_040703155.1,Scaffold,3154464
Streptomyces sp. NPDC005438,38,GCF_040606315.1,Scaffold,3156880
Streptomyces sp. NPDC005444,187,GCF_040606255.1,Scaffold,3156881
Streptomyces sp. NPDC005463,289,GCF_040606205.1,Scaffold,3154465
Streptomyces sp. NPDC005474,213,GCF_040703195.1,Scaffold,3154878
Streptomyces sp. NPDC005476,253,GCF_040703165.1,Scaffold,3156882
Streptomyces sp. NPDC005479,183,GCF_040606155.1,Scaffold,3154879
Streptomyces sp. NPDC005480,227,GCF_040606115.1,Scaffold,3154880
Streptomyces sp. NPDC005481,54,GCF_040606075.1,Scaffold,3154881
Streptomyces sp. NPDC005483,131,GCF_040606035.1,Scaffold,3154882
Streptomyces sp. NPDC005485,335,GCF_040606085.1,Scaffold,3155591
Streptomyces sp. NPDC005486,538,GCF_040606015.1,Scaffold,3155345
Streptomyces sp. NPDC005492,129,GCF_040605995.1,Scaffold,3156883
Streptomyces sp. NPDC005494,38,GCF_042872025.1,Scaffold,3364715
Streptomyces sp. NPDC005496,26,GCF_042872045.1,Scaffold,3364716
Streptomyces sp. NPDC005498,58,GCF_042871925.1,Scaffold,3364717
Streptomyces sp. NPDC005499,135,GCF_040605935.1,Scaffold,3154883
Streptomyces sp. NPDC005500,217,GCF_040605925.1,Scaffold,3155007
Streptomyces sp. NPDC005505,139,GCF_040605875.1,Scaffold,3154884
Streptomyces sp. NPDC005506,102,GCF_042871985.1,Scaffold,3364718
Streptomyces sp. NPDC005507,306,GCF_040605895.1,Scaffold,3154885
Streptomyces sp. NPDC005508,43,GCF_040605855.1,Scaffold,3154886
Streptomyces sp. NPDC005522,91,GCF_042871905.1,Scaffold,3364719
Streptomyces sp. NPDC005525,132,GCF_042871945.1,Scaffold,3364720
Streptomyces sp. NPDC005526,142,GCF_040605815.1,Scaffold,3156885
Streptomyces sp. NPDC005529,71,GCF_042871865.1,Scaffold,3364721
Streptomyces sp. NPDC005531,105,GCF_042871885.1,Scaffold,3364722
Streptomyces sp. NPDC005533,206,GCF_042871845.1,Scaffold,3364723
Streptomyces sp. NPDC005534,1235,GCF_040703235.1,Scaffold,3155714
Streptomyces sp. NPDC005538,140,GCF_040605755.1,Scaffold,3157043
Streptomyces sp. NPDC005547,52,GCF_040605705.1,Scaffold,3154887
Streptomyces sp. NPDC005548,82,GCF_042871795.1,Scaffold,3364724
Streptomyces sp. NPDC005549,184,GCF_040605695.1,Scaffold,3154888
Streptomyces sp. NPDC005551,21,GCF_042871785.1,Scaffold,3364725
Streptomyces sp. NPDC005562,63,GCF_040605555.1,Scaffold,3154890
Streptomyces sp. NPDC005566,92,GCF_040605575.1,Scaffold,3156886
Streptomyces sp. NPDC005571,183,GCF_040605495.1,Scaffold,3156888
Streptomyces sp. NPDC005573,48,GCF_040605475.1,Scaffold,3156890
Streptomyces sp. NPDC005574,366,GCF_040605435.1,Scaffold,3156891
Streptomyces sp. NPDC005576,58,GCF_042871745.1,Scaffold,3364726
Streptomyces sp. NPDC005648,205,GCF_040605395.1,Scaffold,3157044
Streptomyces sp. NPDC005706,81,GCF_040631045.1,Scaffold,3157169
Streptomyces sp. NPDC005708,482,GCF_040631015.1,Scaffold,3154564
Streptomyces sp. NPDC005722,106,GCA_040630935.1,Scaffold,3157052
Streptomyces sp. NPDC005727,159,GCF_040630915.1,Scaffold,3157053
Streptomyces sp. NPDC005728,311,GCF_040630895.1,Scaffold,3157054
Streptomyces sp. NPDC005731,80,GCF_040630925.1,Scaffold,3157056
Streptomyces sp. NPDC005732,162,GCF_040630855.1,Scaffold,3157057
Streptomyces sp. NPDC005752,103,GCF_040630715.1,Scaffold,3157065
Streptomyces sp. NPDC005760,96,GCF_040630615.1,Scaffold,3156718
Streptomyces sp. NPDC005761,112,GCF_040630635.1,Scaffold,3157066
Streptomyces sp. NPDC005773,67,GCF_042871625.1,Scaffold,3364727
Streptomyces sp. NPDC005774,162,GCF_042871645.1,Scaffold,3364728
Streptomyces sp. NPDC005775,37,GCF_042871565.1,Scaffold,3364729
Streptomyces sp. NPDC005776,60,GCF_040630555.1,Scaffold,3154676
Streptomyces sp. NPDC005780,64,GCF_042871505.1,Scaffold,3364730
Streptomyces sp. NPDC005784,124,GCF_042871525.1,Scaffold,3364731
Streptomyces sp. NPDC005786,71,GCF_040630495.1,Scaffold,3154891
Streptomyces sp. NPDC005790,102,GCF_040630535.1,Scaffold,3154777
Streptomyces sp. NPDC005791,49,GCF_042871485.1,Scaffold,3364732
Streptomyces sp. NPDC005794,67,GCF_042871445.1,Scaffold,3364733
Streptomyces sp. NPDC005795,77,GCF_040630515.1,Scaffold,3154677
Streptomyces sp. NPDC005799,232,GCF_040630525.1,Scaffold,3154678
Streptomyces sp. NPDC005803,94,GCF_040630435.1,Scaffold,3154297
Streptomyces sp. NPDC005805,125,GCF_040630445.1,Scaffold,3157068
Streptomyces sp. NPDC005808,51,GCF_042871385.1,Scaffold,3364734
Streptomyces sp. NPDC005811,156,GCF_040630405.1,Scaffold,3154565
Streptomyces sp. NPDC005813,131,GCF_040630355.1,Scaffold,3155592
Streptomyces sp. NPDC005820,138,GCF_040630255.1,Scaffold,3157069
Streptomyces sp. NPDC005827,149,GCF_040630155.1,Scaffold,3157070
Streptomyces sp. NPDC005828,113,GCF_040630165.1,Scaffold,3157071
Streptomyces sp. NPDC005840,245,GCF_040630065.1,Scaffold,3157072
Streptomyces sp. NPDC005859,259,GCF_040629975.1,Scaffold,3157170
Streptomyces sp. NPDC005863,26,GCF_042871345.1,Scaffold,3364735
Streptomyces sp. NPDC005865,41,GCF_040629915.1,Scaffold,3155453
Streptomyces sp. NPDC005866,65,GCF_040629895.1,Scaffold,3157075
Streptomyces sp. NPDC005876,104,GCF_040629795.1,Scaffold,3157076
Streptomyces sp. NPDC005877,645,GCF_040629805.1,Scaffold,3155346
Streptomyces sp. NPDC005878,71,GCF_040629815.1,Scaffold,3157077
Streptomyces sp. NPDC005879,46,GCF_040629775.1,Scaffold,3154567
Streptomyces sp. NPDC005885,61,GCF_040629755.1,Scaffold,3157079
Streptomyces sp. NPDC005890,175,GCF_040629715.1,Scaffold,3154568
Streptomyces sp. NPDC005892,157,GCF_040629695.1,Scaffold,3155593
Streptomyces sp. NPDC005897,60,GCF_040629665.1,Scaffold,3157081
Streptomyces sp. NPDC005898,59,GCF_040629635.1,Scaffold,3157082
Streptomyces sp. NPDC005899,721,GCF_040629645.1,Scaffold,3155716
Streptomyces sp. NPDC005900,379,GCF_040629615.1,Scaffold,3154569
Streptomyces sp. NPDC005901,101,GCF_040629595.1,Scaffold,3157171
Streptomyces sp. NPDC005904,1530,GCF_040629575.1,Scaffold,3154570
Streptomyces sp. NPDC005907,167,GCF_040629555.1,Scaffold,3154571
Streptomyces sp. NPDC005908,62,GCF_040629495.1,Scaffold,3157084
Streptomyces sp. NPDC005917,156,GCF_040629395.1,Scaffold,3155347
Streptomyces sp. NPDC005918,873,GCF_040629345.1,Scaffold,3155454
Streptomyces sp. NPDC005925,70,GCF_040638805.1,Scaffold,3157172
Streptomyces sp. NPDC005930,35,GCF_042871265.1,Scaffold,3364736
Streptomyces sp. NPDC005931,45,GCF_042871235.1,Scaffold,3364737
Streptomyces sp. NPDC005951,122,GCF_040638735.1,Scaffold,3154573
Streptomyces sp. NPDC005953,141,GCF_040629295.1,Scaffold,3156719
Streptomyces sp. NPDC005955,42,GCF_042871255.1,Scaffold,3364738
Streptomyces sp. NPDC005962,68,GCF_040629205.1,Scaffold,3154466
Streptomyces sp. NPDC005963,97,GCF_040638655.1,Scaffold,3156721
Streptomyces sp. NPDC005968,119,GCF_040638715.1,Scaffold,3154574
Streptomyces sp. NPDC005969,312,GCF_040629195.1,Scaffold,3156722
Streptomyces sp. NPDC005970,227,GCF_040629155.1,Scaffold,3156723
Streptomyces sp. NPDC005989,402,GCF_040629035.1,Scaffold,3156727
Streptomyces sp. NPDC006012,72,GCF_042871185.1,Scaffold,3364739
Streptomyces sp. NPDC006129,1054,GCF_040614245.1,Scaffold,3155348
Streptomyces sp. NPDC006132,85,GCF_040628855.1,Scaffold,3156732
Streptomyces sp. NPDC006134,154,GCF_040628835.1,Scaffold,3154467
Streptomyces sp. NPDC006135,100,GCF_040628795.1,Scaffold,3154577
Streptomyces sp. NPDC006140,40,GCF_040628815.1,Scaffold,3154579
Streptomyces sp. NPDC006143,85,GCF_040614135.1,Scaffold,3154468
Streptomyces sp. NPDC006147,152,GCF_040614115.1,Scaffold,3155597
Streptomyces sp. NPDC006170,86,GCF_040614095.1,Scaffold,3154469
Streptomyces sp. NPDC006172,69,GCF_040628695.1,Scaffold,3154470
Streptomyces sp. NPDC006173,170,GCF_040628735.1,Scaffold,3155349
Streptomyces sp. NPDC006174,32,GCF_040614075.1,Scaffold,3154298
Streptomyces sp. NPDC006175,78,GCF_040614055.1,Scaffold,3154471
Streptomyces sp. NPDC006183,78,GCF_040614035.1,Scaffold,3154580
Streptomyces sp. NPDC006184,274,GCF_040614015.1,Scaffold,3155455
Streptomyces sp. NPDC006186,70,GCF_040613955.1,Scaffold,3155248
Streptomyces sp. NPDC006193,70,GCF_040613915.1,Scaffold,3155717
Streptomyces sp. NPDC006195,62,GCF_040613855.1,Scaffold,3154581
Streptomyces sp. NPDC006197,306,GCF_040613865.1,Scaffold,3156685
Streptomyces sp. NPDC006207,164,GCA_040613835.1,Scaffold,3156733
Streptomyces sp. NPDC006208,149,GCF_040613775.1,Scaffold,3156734
Streptomyces sp. NPDC006233,65,GCF_040613715.1,Scaffold,3156735
Streptomyces sp. NPDC006235,100,GCF_040613735.1,Scaffold,3156736
Streptomyces sp. NPDC006237,119,GCF_040613675.1,Scaffold,3154474
Streptomyces sp. NPDC006240,62,GCF_040613655.1,Scaffold,3156737
